surface,nbRooms,price,annee,balcon,garage,note,price_category,ville
45,2,585000,2015,True,False,4,normal,Paris
75,3,450000,2012,False,True,3,high,Lyon
120,4,600000,2008,True,True,5,normal,Marseille
30,1,270000,2020,True,False,2,low,Paris
85,3,510000,2010,False,True,3,normal,Lyon
50,2,140000,2018,True,False,1,scam,Marseille
35,1,455000,2016,True,False,4,normal,Paris
65,2,390000,2014,True,True,4,normal,Lyon
110,4,720000,2005,True,True,5,high,Marseille
90,3,950000,2021,False,True,5,high,Paris
55,2,350000,2017,True,False,3,normal,Lyon
80,3,480000,2013,True,True,4,normal,Marseille
140,5,780000,2009,False,True,5,high,Paris
35,1,260000,2019,True,False,2,low,Lyon
95,4,620000,2011,True,True,4,high,Marseille
60,2,360000,2016,True,False,3,normal,Paris
40,1,300000,2017,False,False,2,normal,Lyon
70,3,450000,2015,False,True,4,normal,Marseille
125,4,860000,2006,True,True,5,high,Paris
105,4,710000,2014,True,False,4,normal,Lyon
60,2,420000,2012,True,False,3,normal,Marseille
100,4,680000,2010,True,True,4,high,Paris
130,5,920000,2010,False,True,5,high,Lyon
25,1,220000,2022,True,False,2,low,Marseille
45,2,390000,2016,True,True,4,normal,Paris
75,3,520000,2013,False,False,3,normal,Lyon
150,5,970000,2005,True,True,5,high,Marseille
55,2,410000,2020,False,False,3,normal,Paris
90,3,550000,2017,True,True,4,normal,Lyon
85,3,480000,2012,False,False,4,normal,Marseille
65,2,410000,2016,True,True,3,normal,Paris
50,2,340000,2011,True,False,3,normal,Lyon
120,4,850000,2009,True,True,5,high,Marseille
40,1,310000,2023,True,True,2,low,Paris
110,4,800000,2007,True,True,5,high,Lyon
80,3,590000,2008,True,False,4,normal,Marseille
35,1,280000,2020,False,False,2,low,Paris
60,2,390000,2015,True,True,3,normal,Lyon
75,3,460000,2014,True,True,4,normal,Marseille
100,4,680000,2011,False,False,5,high,Paris
95,4,700000,2006,True,True,4,high,Lyon
45,2,410000,2019,True,True,3,normal,Marseille
55,2,420000,2018,True,False,3,normal,Paris
125,5,860000,2012,False,True,5,high,Lyon
85,3,510000,2017,True,True,4,normal,Marseille
70,3,480000,2021,False,False,4,normal,Paris
40,1,250000,2022,True,True,2,low,Lyon
90,3,640000,2006,True,False,4,high,Marseille
135,5,920000,2008,False,True,5,high,Paris
60,2,420000,2021,True,False,3,normal,Lyon
